date,count,mean,std,min,5%,50%,95%,max,approx_up,approx_down,"R (combined, estimate)"
2021-11-14,28.0,1.0560413214285715,0.055869301691406956,0.928959,0.94561595,1.0700669999999999,1.13626465,1.152394,1.13626465,0.94561595,1.0700669999999999
2021-11-15,28.0,1.0277355000000001,0.04933193447829074,0.92902,0.93820895,1.0430315000000001,1.0949788,1.108906,1.0949788,0.93820895,1.0430315000000001
2021-11-16,28.0,1.0058759285714285,0.0418295299288527,0.924801,0.9382059,1.0165419999999998,1.0545586,1.074005,1.0545586,0.9382059,1.0165419999999998
2021-11-17,28.0,0.9906296071428571,0.03446637271241432,0.925837,0.93135835,1.0059225,1.0322696,1.042147,1.0322696,0.93135835,1.0059225
2021-11-18,28.0,0.9814755357142857,0.028055793127903458,0.931912,0.933638,0.9889410000000001,1.01168005,1.023783,1.01168005,0.933638,0.9889410000000001
2021-11-19,28.0,0.9770130357142855,0.025034714642290196,0.933723,0.9373910000000001,0.978672,1.010138,1.01541,1.010138,0.9373910000000001,0.978672
2021-11-20,28.0,0.9765501071428572,0.025018678332530162,0.938935,0.9418056499999999,0.980753,1.0120123,1.016464,1.0120123,0.9418056499999999,0.980753
2021-11-21,28.0,0.9782040714285715,0.026712561661383735,0.929689,0.93547805,0.9811905,1.01387715,1.01661,1.01387715,0.93547805,0.9811905
2021-11-22,28.0,0.9810169999999999,0.027050422674865727,0.930093,0.93805915,0.9798545,1.0156374,1.030663,1.0156374,0.93805915,0.9798545
2021-11-23,28.0,0.9827588928571428,0.026838318598792987,0.934019,0.9431715,0.9836484999999999,1.0260574,1.043725,1.0260574,0.9431715,0.9836484999999999
2021-11-24,28.0,0.9816376428571428,0.024477694374015802,0.938194,0.94364555,0.9768730000000001,1.0166321,1.042831,1.0166321,0.94364555,0.9768730000000001
2021-11-25,28.0,0.9769370357142858,0.020957487682488098,0.941024,0.9433422,0.9738905,1.009011,1.011106,1.009011,0.9433422,0.9738905
2021-11-26,28.0,0.969023107142857,0.020675949534090153,0.936427,0.9371543,0.97158,1.00179615,1.016382,1.00179615,0.9371543,0.97158
2021-11-27,28.0,0.9575193571428571,0.02216519268652289,0.899489,0.9228685999999999,0.9566685,0.9886654,0.995359,0.9886654,0.9228685999999999,0.9566685
2021-11-28,28.0,0.9428410357142857,0.026523440367429776,0.86155,0.8974466,0.944956,0.9780569,0.989063,0.9780569,0.8974466,0.944956
2021-11-29,28.0,0.9253937142857142,0.031704141500531344,0.821554,0.8683949000000001,0.9315720000000001,0.9647357,0.974789,0.9647357,0.8683949000000001,0.9315720000000001
2021-11-30,28.0,0.9069071428571428,0.03654323647783721,0.783853,0.84093625,0.9125449999999999,0.9384002,0.957059,0.9384002,0.84093625,0.9125449999999999
2021-12-01,28.0,0.8891530357142857,0.0390157916067633,0.776388,0.8034020000000001,0.89689,0.92339255,0.939158,0.92339255,0.8034020000000001,0.89689
2021-12-02,28.0,0.8727222142857143,0.041162909642646475,0.77116,0.7815765,0.881135,0.9160221000000001,0.920848,0.9160221000000001,0.7815765,0.881135
2021-12-03,28.0,0.8576786071428569,0.04565625791786018,0.751195,0.76338075,0.8723645,0.9031185,0.913388,0.9031185,0.76338075,0.8723645
2021-12-04,28.0,0.8445776785714285,0.0525113058042097,0.708258,0.7476683,0.8627485,0.89476195,0.909175,0.89476195,0.7476683,0.8627485
2021-12-05,28.0,0.8346822500000001,0.059377031656547063,0.696907,0.7180152,0.8583045,0.8927228500000001,0.904725,0.8927228500000001,0.7180152,0.8583045
2021-12-06,28.0,0.82797325,0.06680363674155883,0.691752,0.69767185,0.8551409999999999,0.8913303,0.900686,0.8913303,0.69767185,0.8551409999999999
2021-12-07,28.0,0.8235849285714286,0.07413878087345459,0.682456,0.68645325,0.8603655,0.8904524500000001,0.900547,0.8904524500000001,0.68645325,0.8603655
2021-12-08,28.0,0.8214855357142857,0.08343981614423573,0.653063,0.66724345,0.8611165000000001,0.8914499,0.901175,0.8914499,0.66724345,0.8611165000000001
2021-12-09,28.0,0.8226268214285716,0.09366831414804742,0.61502,0.6461890499999999,0.869076,0.89814795,0.901922,0.89814795,0.6461890499999999,0.869076
2021-12-10,28.0,0.8273733571428571,0.10278578078530852,0.593107,0.6241544,0.8774385,0.90272595,0.91384,0.90272595,0.6241544,0.8774385
2021-12-11,28.0,0.8351000714285713,0.1092181792549779,0.580671,0.6228346,0.8914485,0.9138564499999999,0.926778,0.9138564499999999,0.6228346,0.8914485
2021-12-12,28.0,0.8440821785714286,0.11471696390684322,0.577745,0.6271394,0.9007865,0.93139235,0.933578,0.93139235,0.6271394,0.9007865
2021-12-13,28.0,0.8550331785714285,0.11850173820011424,0.581228,0.62714485,0.9086974999999999,0.94048485,0.966328,0.94048485,0.62714485,0.9086974999999999
2021-12-14,28.0,0.8691789642857144,0.12044004923104464,0.594566,0.63079535,0.9238435,0.9623702,0.998212,0.9623702,0.63079535,0.9238435
2021-12-15,28.0,0.8856142142857142,0.11852279450848488,0.622732,0.6399693000000001,0.936156,0.9816327499999999,1.005521,0.9816327499999999,0.6399693000000001,0.936156
2021-12-16,28.0,0.9018759285714285,0.11425519311835776,0.652613,0.66953975,0.9475899999999999,0.9927726,1.008582,0.9927726,0.66953975,0.9475899999999999
2021-12-17,28.0,0.9172513571428571,0.10918690708722878,0.678506,0.6985664500000001,0.9614419999999999,1.00779655,1.01447,1.00779655,0.6985664500000001,0.9614419999999999
2021-12-18,28.0,0.9341098928571429,0.10574785619868482,0.707025,0.7235733,0.981229,1.0154064999999999,1.042278,1.0154064999999999,0.7235733,0.981229
2021-12-19,28.0,0.9554245714285713,0.1026385174373415,0.725829,0.7618338,1.0049995,1.03992025,1.070152,1.03992025,0.7618338,1.0049995
2021-12-20,28.0,0.9809007857142858,0.1032168948998525,0.752731,0.7808671,1.030742,1.07265925,1.097506,1.07265925,0.7808671,1.030742
2021-12-21,28.0,1.0140580000000001,0.1137569130226574,0.764165,0.7971755,1.055451,1.1325717,1.153263,1.1325717,0.7971755,1.055451
2021-12-22,28.0,1.0570323214285717,0.13538005157089172,0.749943,0.81922935,1.083219,1.2369081499999999,1.281688,1.2369081499999999,0.81922935,1.083219
2021-12-23,28.0,1.111530392857143,0.16003029105936056,0.769458,0.8332471499999999,1.1367699999999998,1.33044615,1.432692,1.33044615,0.8332471499999999,1.1367699999999998
2021-12-24,28.0,1.1750178571428571,0.1815515799914345,0.802006,0.8621686000000001,1.1983785,1.4218834,1.561106,1.4218834,0.8621686000000001,1.1983785
2021-12-25,28.0,1.2413034285714286,0.19762885590783333,0.843475,0.89906485,1.2584605,1.50262075,1.656475,1.50262075,0.89906485,1.2584605
2021-12-26,28.0,1.3044566071428572,0.20575151914588613,0.894329,0.9387948500000001,1.3193934999999999,1.57739115,1.716739,1.57739115,0.9387948500000001,1.3193934999999999
2021-12-27,28.0,1.358159714285714,0.20059502795449222,0.9542,0.9779374,1.366488,1.6266451499999999,1.712418,1.6266451499999999,0.9779374,1.366488
2021-12-28,28.0,1.3889128928571428,0.1753037186760588,1.005824,1.04820355,1.4134185000000001,1.62478285,1.63524,1.62478285,1.04820355,1.4134185000000001
2021-12-29,28.0,1.3990877499999999,0.1483069253772767,1.054251,1.12615705,1.4067319999999999,1.6073967,1.633893,1.6073967,1.12615705,1.4067319999999999
2021-12-30,28.0,1.3911862857142856,0.12572500369865358,1.111678,1.20486955,1.4008385,1.5704098499999999,1.61602,1.5704098499999999,1.20486955,1.4008385
2021-12-31,28.0,1.3696498571428573,0.11383651534505422,1.146145,1.2046743500000001,1.3641999999999999,1.5373766,1.573667,1.5373766,1.2046743500000001,1.3641999999999999
2022-01-01,28.0,1.3350705,0.12038953375774578,1.087971,1.1398067,1.3555115,1.5085134500000001,1.559801,1.5085134500000001,1.1398067,1.3555115
2022-01-02,28.0,1.2925407500000001,0.13684372865605038,1.036619,1.0806906,1.3005385,1.48963705,1.521464,1.48963705,1.0806906,1.3005385
2022-01-03,28.0,1.247866142857143,0.15304777772817998,1.002024,1.0373932000000001,1.224677,1.51804805,1.525419,1.51804805,1.0373932000000001,1.224677
2022-01-04,28.0,1.2129035714285714,0.1600702028440967,1.004082,1.0376976,1.1652445,1.5340417,1.566933,1.5340417,1.0376976,1.1652445
2022-01-05,28.0,1.190142357142857,0.15971843292290722,1.019381,1.0392455,1.129208,1.5330758,1.602821,1.5330758,1.0392455,1.129208
2022-01-06,28.0,1.1793850357142859,0.14959424127742701,1.024994,1.0422027999999999,1.1361409999999998,1.4875680999999998,1.602713,1.4875680999999998,1.0422027999999999,1.1361409999999998
